Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
giare24h.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
google.com.vn / referral,1,0,7,71.43%,2.29,21.43,0.00%,0,0
hangmy.fptshop.com.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
hdvietnam.com / local_display,1,0,2,50.00%,1.50,4.00,0.00%,0,0
hoangkien.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
hocacanh.vn / local_display,1,0,9,22.22%,4.67,250.56,0.00%,0,0
hocdientu.vn / local_display,1,0,1,0.00%,2.00,1660.00,0.00%,0,0
hoco.vn / local_display,1,0,1,0.00%,2.00,45.00,0.00%,0,0
homeokatu.com / local_display,1,1,1,0.00%,4.00,53.00,0.00%,0,0
hyundaithuduc.vn / local_display,1,1,4,50.00%,2.25,40.75,0.00%,0,0
ieltsonlinetests.com / local_display,1,0,7,42.86%,6.86,182.71,0.00%,0,0
imasdk.googleapis.com / referral,1,0,1,100.00%,1.00,0.00,0.00%,0,0
in.search.yahoo.com / local_display,1,1,1,0.00%,6.00,41.00,0.00%,0,0
int.search.tb.ask.com / local_display,1,1,3,33.33%,3.00,161.33,0.00%,0,0
iwater.vn / local_display,1,0,3,33.33%,4.67,78.00,0.00%,0,0
kenh14.vn / local_display,1,0,2,50.00%,3.50,49.50,0.00%,0,0
lazada.vn / local_display,1,1,5,100.00%,1.00,0.00,0.00%,0,0
lg.com / local_display,1,0,1,0.00%,2.00,5.00,0.00%,0,0
lienvietpharmacy.hostingerapp.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
linhkienlammusic.com / local_display,1,0,4,50.00%,3.50,69.75,0.00%,0,0
livejournal.top / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
livescore.com / local_display,1,0,10,60.00%,1.50,31.20,0.00%,0,0
livetv.sx / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
lm.workplace.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
logoutwifi.netnam.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
m.blog.naver.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
m.cafef.vn / local_display,1,0,46,65.22%,1.63,46.33,0.00%,0,0
m.gamek.vn / local_display,1,0,10,70.00%,1.90,18.00,0.00%,0,0
m.thanhnien.vn / local_display,1,0,10,10.00%,4.00,254.20,0.00%,0,0
maccenter.vn / local_display,1,0,1,0.00%,8.00,356.00,0.00%,0,0
mangapark.net / local_display,1,0,2,50.00%,1.50,4.00,0.00%,0,0
messenger.com / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
misaigon.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
mistore.com.vn / local_display,1,0,2,50.00%,5.50,421.00,0.00%,0,0
nhattao.com / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
no.search.yahoo.com / referral,1,1,1,0.00%,4.00,183.00,0.00%,0,0
notify.bluecoat.com / local_display,1,0,1,0.00%,8.00,315.00,0.00%,0,0
online.acb.com.vn / local_display,1,0,1,0.00%,39.00,894.00,0.00%,0,0
openurls.com.cn / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
oxii.vn / local_display,1,0,2,0.00%,9.50,781.50,0.00%,0,0
ozbargain.com.au / local_display,1,0,2,50.00%,2.50,59.00,0.00%,0,0
pages.lazada.vn / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
pfp1.boehringer.com / local_display,1,1,1,0.00%,4.00,87.00,0.00%,0,0
phatdatcomputer.vn / local_display,1,0,24,54.17%,1.83,70.38,0.00%,0,0
phimmoi.net / local_display,1,0,8,50.00%,4.25,56.75,0.00%,0,0
phukiengiare24h.com / local_display,1,1,2,100.00%,1.00,0.00,0.00%,0,0
proe.vn / local_display,1,1,1,100.00%,1.00,0.00,0.00%,0,0
rinkshop.tk / local_display,1,0,1,0.00%,2.00,8.00,0.00%,0,0
saigonvape.net / local_display,1,0,1,100.00%,1.00,0.00,0.00%,0,0
saigonxua.vn / local_display,1,0,3,66.67%,1.33,351.67,0.00%,0,0
